,Unnamed: 0_x,doi,fk_idx,cole_idx,date,Unnamed: 0_y,subject,"doi,subject",period,Discipline
1,0,s43018-020-00111-6,15.1,25.62,2020-09-14 00:00:00+00:00,4,Cancer,,Before,Biological sciences
2,0,s43018-020-00111-6,15.1,25.62,2020-09-14 00:00:00+00:00,5,Cancer immunotherapy,,Before,Biological sciences
5,1,s43016-020-00184-7,18.6,54.57,2020-10-20 00:00:00+00:00,18,Agriculture,,Before,Scientific community and society
7,1,s43016-020-00184-7,18.6,54.57,2020-10-20 00:00:00+00:00,20,Environmental sciences,,Before,Earth and environmental sciences
8,1,s43016-020-00184-7,18.6,54.57,2020-10-20 00:00:00+00:00,21,Social sciences,,Before,Scientific community and society
14,4,s43018-020-00138-9,18.0,34.25,2020-11-17 00:00:00+00:00,27,Cancer,,Before,Biological sciences
15,4,s43018-020-00138-9,18.0,34.25,2020-11-17 00:00:00+00:00,28,Cancer immunotherapy,,Before,Biological sciences
19,5,s43018-020-00115-2,16.7,27.88,2020-09-28 00:00:00+00:00,37,Cancer,,Before,Biological sciences
20,5,s43018-020-00115-2,16.7,27.88,2020-09-28 00:00:00+00:00,38,Cancer metabolism,,Before,Biological sciences
22,6,s43246-020-00087-x,14.7,26.02,2020-11-12 00:00:00+00:00,43,Engineering,,Before,Physical sciences
23,6,s43246-020-00087-x,14.7,26.02,2020-11-12 00:00:00+00:00,44,Materials science,,Before,Physical sciences
25,7,s43018-020-00112-5,18.3,28.76,2020-09-21 00:00:00+00:00,46,Cancer,,Before,Biological sciences
26,7,s43018-020-00112-5,18.3,28.76,2020-09-21 00:00:00+00:00,47,Cancer genomics,,Before,Biological sciences
27,7,s43018-020-00112-5,18.3,28.76,2020-09-21 00:00:00+00:00,48,Cancer metabolism,,Before,Biological sciences
30,8,s43018-020-00110-7,16.0,29.62,2020-09-18 00:00:00+00:00,51,Cancer,,Before,Biological sciences
31,8,s43018-020-00110-7,16.0,29.62,2020-09-18 00:00:00+00:00,52,Tumour immunology,,Before,Biological sciences
